distribuidor,filial_anterior,cod_vend1,nome_vend1,celula,cliente,cnpj,razao,fantasia,endereco,bairro,cidade,micro_regiao,meso_regiao,estado,regiao,cep,ibm_cliente,clube_status,tipo_cliente,banding,cod_seg,nome_seg,emissao,mes,ano,ano_mes,dt_entrega,produto,descricao,classe,familia,tier,aplicacao,origem_prod,tipo_sh,volume,cfop,numero_nf,serie,quantidade,vol_total,fat_bruto,fat_liquido,liquido_shell,custo,ibm_distribuidor,tipo_global,ibm_shell,embalagem,cod_vend2,armazem,grupo_alvorada,rede_top,segmentacao,troca_oleo,pitstop,cod_supervisor,nome_supervisor,cod_gerente,nome_gerente,combo_descri,combo_cod,peso_bruto,transportadora,custo_repo,cod_ibge,cond_pgto,prazo_med,tipo_prod1
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00667600,39805130000137,MINERACAO TRIUFO LTDA,MINERACAO TRIUNFO,RODOVIA BR 101KM 454 GALPAO,DIST.SAO JOSE DAS TORRES,MIMOSO DO SUL,,,ES,,29400000,,,B2B,,CINR,IND MINERACAO,09/05/2024,05,2024,2024M05,  /  /    ,45247860,CORENA S2 P 100 BALDE,OLEO,CORENA,CORENA S2,Industry,Mineral,Mainstream,20.0,5656,000000697,004,1,20.0,2039.04,1850.43,0,882.64,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.98,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,03403,022 - 30/60DDL,45,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00943200,04672503000245,BW ENERGY MAROMBA DO BRASIL LTDA,BW ENERGY MAROMBA,AV PRESIDENTE CASTELO BRANCO 246,BELA VISTA,ARACRUZ,,,ES,,29192066,,,B2B,,CINC,OUTRAS INDUSTRIAS,09/05/2024,05,2024,2024M05,  /  /    ,45659855,OMALA S2 G 220 FR. 20LT.,OLEO,OMALA,OMALA S2,Industry,Mineral,Mainstream,20.0,5656,000000698,004,2,40.0,1312.0,1190.64,0,847.29,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.98,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,00607,027 - 30 DDL,30,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250020,CHARLES CRUZ,CHARLES CRUZ,00003506,27457415001036,DISTRIBUIDORA NACIONAL DE AUTO PECAS LTD,GNAP LOJA 25 - FILIA,RUA FRANCISCO SOUZA DOS SANTOS 456 LETRA B,JARDIM LIMOEIRO,SERRA,,,ES,,29164153,,,B2C,,RATV,AUTOPECAS VEICULOS,13/05/2024,05,2024,2024M05,  /  /    ,49067855,HYDRAULIC S1 M 68 FR 20L,OLEO,HYDRAU,HYDRAULIC S1 M 68,Consumer,Mineral,Mainstream,20.0,5659,000000701,004,70,1400.0,21473.57,19487.27,0,13045.56,005638,Mainstream,7005638,EMBALADO  ,250002,01,0,Nao,,,,250005,NILO SEGAL,250002,WANDERSON CASTIGLIONI,,,18.0,000003 - NOSSO CARRO,0,05002,002 - 42 DD,42,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250016,ALEXSANDRO DOS SANTOS SOBRINHO,ALEXSANDRO DOS SANTOS SOBRINHO,00044701,27487156000103,VIACAO JOANA D ARC S A,VIACAO JOANA D ARC S,AV SILVIO AVIDOS  1680,SAO SILVANO,COLATINA,,,ES,,29706010,,,B2B,,CTPT,TRANSPORTES E FROTAS,14/05/2024,05,2024,2024M05,  /  /    ,52883988,GADUS S1 A150 2 TB. 180 KG,GRAXAS,GADUS,GADUS S1,Industry Specialities,Mineral,Mainstream,180.0,5656,000000702,004,1,180.0,4972.0,4512.09,0,2273.1,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,180.0,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,01506,004 - 28/56/84 DD,56,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00943200,04672503000245,BW ENERGY MAROMBA DO BRASIL LTDA,BW ENERGY MAROMBA,AV PRESIDENTE CASTELO BRANCO 246,BELA VISTA,ARACRUZ,,,ES,,29192066,,,B2B,,CINC,OUTRAS INDUSTRIAS,14/05/2024,05,2024,2024M05,  /  /    ,45659855,OMALA S2 G 220 FR. 20LT.,OLEO,OMALA,OMALA S2,Industry,Mineral,Mainstream,20.0,5656,000000703,004,2,40.0,1312.0,1190.64,0,847.29,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.98,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,00607,027 - 30 DDL,30,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250016,ALEXSANDRO DOS SANTOS SOBRINHO,ALEXSANDRO DOS SANTOS SOBRINHO,00850200,31710510000186,GRANITOS LARANJEIRA LTDA,GRANITOS LARANJEIRA,EST KM 295 DO MUTUM PRETO,ALTO MUTUM PRETO,BAIXO GUANDU,,,ES,,29730000,,,B2B,,CBSC,B2B CROSSDOC,16/05/2024,05,2024,2024M05,  /  /    ,44414855,RIMULA RT4 X 15W40 SHELL FR 20L,OLEO,RIMULA,RIMULA RT4X,Transport,Mineral,Mainstream,20.0,5656,000000704,004,5,100.0,1870.0,1697.02,0,943.36,005638,Mainstream,7005638,EMBALADO  ,250002,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.596,000001 - RETIRA,0,00805,018 - C/APRESENTACAO,1,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00072401,42593061000400,ELKEM PARTICIPACOES INDUSTRIA E COMERCIO,ELKEM PARTICIPACOES,R ATALYDES MOREIRA DE SOUZA S/ N,CIVIT I,SERRA,,,ES,,29168055,,,B2B,,CINC,OUTRAS INDUSTRIAS,17/05/2024,05,2024,2024M05,  /  /    ,45286855,TELLUS S2 M 32 FR. 20LT.,OLEO,TELLUS,TELLUS S2,Industry,Mineral,Mainstream,20.0,5656,000000705,004,1,20.0,808.0,733.26,0,253.46,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.5,000003 - NOSSO CARRO,0,05002,027 - 30 DDL,30,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00857600,00074569001840,RIO DE JANEIRO REFRESCOS LTDA,COCA-COLA,RODOVIA BR 101 S/N KM 288,TABAJARA,CARIACICA,,,ES,,29154000,,,B2B,,CTPT,TRANSPORTES E FROTAS,17/05/2024,05,2024,2024M05,  /  /    ,44414855,RIMULA RT4 X 15W40 SHELL FR 20L,OLEO,RIMULA,RIMULA RT4X,Transport,Mineral,Mainstream,20.0,5656,000000706,004,1,20.0,399.9,362.91,0,188.67,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.596,000003 - NOSSO CARRO,0,01308,027 - 30 DDL,30,SH
Nacional Atacado,NACIONAL / ATACADO / ES,250027,RODRIGO GOMES,RODRIGO GOMES,00857601,00074569001840,RIO DE JANEIRO REFRESCOS LTDA,RIO DE JANEIRO REFRE,AV DOMINGOS ALCINO DADALTOS/N ENCIMA DA LINHA DE TREM A ESQUERDA,IBC,CACHOEIRO DE ITAPEMIRIM,,,ES,,29315730,,,B2B,,CTPT,TRANSPORTES E FROTAS,17/05/2024,05,2024,2024M05,  /  /    ,44414855,RIMULA RT4 X 15W40 SHELL FR 20L,OLEO,RIMULA,RIMULA RT4X,Transport,Mineral,Mainstream,20.0,5656,000000707,004,1,20.0,399.9,362.91,0,188.67,005638,Mainstream,7005638,EMBALADO  ,250024,01,0,Nao,,,,250014,RODRIGO LAZARO,250002,WANDERSON CASTIGLIONI,,,17.596,000005 - TRANSVITAL EXPRESS CARGAS LTDA EPP,0,01209,027 - 30 DDL,30,SH
Nacional,NACIONAL / MATRIZ / ES,250017,LORENA RAISA VALENTE,LORENA RAISA VALENTE,00002304,03537664000263,MVC VEICULOS LTDA,MVC VEICULOS LTDA,RODOVIA BR 101 KM 67 SN0,SERNAMBY,SAO MATEUS,,,ES,,29930650,7001415,,FWS,,RAFI,CONCES AUTO FIAT,02/05/2024,05,2024,2024M05,07/05/2024,46127905,MOPAR MAXPRO DIESEL DPF 5W-30 CX 12X1L,OLEO,MOPAR,MOPAR MAXPRO,consumer,Mineral,Mainstream,12.0,5655,000016231,001,11,132.0,4731.1,4293.48,0,2103.36,005655,Mainstream,7005655,EMBALADO  ,,20,0,Nao,,,,250002,WANDERSON CASTIGLIONI,250001,Roney Perin da Cruz,,,10.56,000002 - TRANSCHERRER TRANSPORTADORA LTDA,0,04906,Z60 - 60 DIAS,60,SH
